epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8139,2.30164,3.8492,1.9463,0.00416,0.29532,0.03961,0.00537,2.6197,4.17294,2.52968,7.145e-05,7.145e-05,7.145e-05
2,44.1503,2.02925,3.59551,1.77092,0.00519,0.29532,0.03462,0.01127,2.81899,4.11449,2.57307,0.000150965,0.000150965,0.000150965
3,74.8328,1.94781,3.04757,1.62666,0.00481,0.27778,0.08209,0.02553,2.43247,3.97267,2.2432,0.00022369,0.00022369,0.00022369
4,97.4246,1.92427,2.72254,1.54582,0.0046,0.36111,0.07819,0.03202,2.32405,3.80558,2.21564,0.000289624,0.000289624,0.000289624
5,120.313,1.8363,2.50973,1.53162,0.00479,0.44444,0.03674,0.01231,2.37436,3.73604,2.17768,0.000348767,0.000348767,0.000348767
6,142.99,1.79773,2.1465,1.49158,0.00469,0.44444,0.05636,0.02041,2.19709,3.52304,1.9997,0.00040112,0.00040112,0.00040112
7,166.144,1.77927,1.87768,1.47079,0.01115,0.67251,0.19066,0.07448,2.12731,3.18892,2.0224,0.000446683,0.000446683,0.000446683
8,195.815,1.5972,1.76981,1.38685,0.00959,0.55409,0.1738,0.0585,2.19105,3.4391,2.17664,0.000485454,0.000485454,0.000485454
9,219.279,1.60001,1.71041,1.35996,0.01272,0.74269,0.27309,0.07573,2.16075,3.1085,2.21224,0.000517435,0.000517435,0.000517435
10,242.513,1.66405,1.69424,1.36978,1,0.14822,0.33611,0.12007,2.1456,2.76741,2.15116,0.000542626,0.000542626,0.000542626
11,268.895,1.60559,1.54314,1.35754,0.01748,0.89181,0.35719,0.12786,1.99468,2.96484,1.9455,0.000561025,0.000561025,0.000561025
12,293.296,1.51395,1.52148,1.33449,0.71485,0.18493,0.366,0.15167,2.08514,2.98218,2.00388,0.000572635,0.000572635,0.000572635
13,320.895,1.55996,1.47261,1.35714,0.56312,0.1849,0.41779,0.19157,2.04589,2.93277,1.99618,0.000577453,0.000577453,0.000577453
14,354.015,1.56207,1.54332,1.38674,0.92362,0.11093,0.43147,0.22317,1.99978,2.89376,1.98591,0.000575481,0.000575481,0.000575481
15,385.762,1.59259,1.4155,1.30357,0.75683,0.24124,0.41247,0.20565,2.00487,2.87159,1.9977,0.000566719,0.000566719,0.000566719
16,416.202,1.54644,1.3894,1.38986,0.5942,0.22342,0.29607,0.10431,2.10846,3.30209,2.12859,0.000551165,0.000551165,0.000551165
17,528.419,1.4789,1.41117,1.3999,0.4617,0.13889,0.26012,0.10841,2.15594,3.31653,2.18747,0.000523586,0.000523586,0.000523586
18,584.628,1.4811,1.37164,1.33448,0.46443,0.51608,0.46534,0.23449,2.00359,2.37721,2.03059,0.000466997,0.000466997,0.000466997
19,627.815,1.3921,1.27084,1.32465,0.50503,0.59245,0.50157,0.2491,2.0227,2.12147,2.03674,0.000410409,0.000410409,0.000410409
20,667.477,1.39149,1.26135,1.29782,0.54477,0.51028,0.4204,0.19123,2.09613,2.01988,2.09354,0.00035382,0.00035382,0.00035382
21,727.842,1.36534,1.24488,1.27344,0.55636,0.49068,0.41119,0.1879,2.10496,2.00888,2.11313,0.000297232,0.000297232,0.000297232
22,771.245,1.33098,1.21918,1.25523,0.50081,0.46847,0.42045,0.18813,2.16383,1.98668,2.15062,0.000240644,0.000240644,0.000240644
23,813.042,1.30012,1.16425,1.24059,0.46473,0.58626,0.45385,0.1966,2.22105,1.99202,2.21318,0.000184055,0.000184055,0.000184055
24,871.853,1.27875,1.16634,1.2529,0.51049,0.54487,0.46771,0.20073,2.24207,2.01467,2.21073,0.000127467,0.000127467,0.000127467
25,923.52,1.29695,1.09148,1.21149,0.48716,0.57079,0.47365,0.20303,2.23597,2.01261,2.20133,7.08784e-05,7.08784e-05,7.08784e-05
